locale,translation_key,value,created_at,updated_at,original_translation,status
zh_CN,themes.import_error.about_json,导入错误：about.json 不存在或无效。确定这是一个 Discourse 主题吗？,2025-08-03 14:18:21.347126,2025-08-03 14:18:21.347126,"Import Error: about.json does not exist, or is invalid. Are you sure this is a Discourse Theme?",0
zh_CN,topic_statuses.autoclosed_enabled_days.other,此话题已在%{count}天后自动关闭，不再允许回复。,2025-08-04 13:15:26.934311,2025-08-04 13:15:26.934311,This topic was automatically closed after %{count} days. New replies are no longer allowed.,0
zh_CN,js.chat.no_direct_message_channels,你还没有直接消息！,2025-08-03 22:54:30.366392,2025-08-03 22:54:30.366392,You have not joined any direct messages yet!,0
zh_CN,chat_integration.provider.matrix.formatted_message,"%{user} 创建了新帖 <a href=""%{post_url}"">%{title}</a>
",2025-08-04 03:55:36.334251,2025-08-04 03:55:50.205536,"<b>%{user}</b> posted in <b><a href='%{post_url}'>%{title}</a></b>
<blockquote>
%{excerpt}
</blockquote>
",0
zh_CN,js.user.name.instructions,公开显示用的全名（可选）,2025-08-04 08:35:19.224546,2025-08-04 08:35:19.224546,Your full name (optional),0
zh_CN,js.user.name.instructions_required,公开显示用的全名,2025-08-04 08:35:28.639833,2025-08-04 08:35:28.639833,Your full name,0
zh_CN,dates.short_date_no_year,M月D日,2025-08-04 12:33:31.963074,2025-08-04 12:33:31.963074,D MMM,0
zh_CN,js.dates.tiny.date_month,M月D日,2025-08-04 12:34:21.906969,2025-08-04 12:34:21.906969,MMM D,0
zh_CN,js.dates.long_no_year_no_time,M月D日,2025-08-04 12:34:46.697536,2025-08-04 12:34:46.697536,MMM D,0
zh_CN,js.dates.long_no_year,M月D日 HH:mm,2025-08-04 12:35:06.906479,2025-08-04 12:35:06.906479,"MMM D, h:mm a",0
zh_CN,dates.long_date,YYYY年M月D日 H:mm,2025-08-04 12:36:35.113697,2025-08-04 12:36:35.113697,"MMMM D, YYYY h:mma",0
zh_CN,dates.short_date,YYYY年M月D日,2025-08-04 12:37:30.847808,2025-08-04 12:37:30.847808,"D MMM, YYYY",0
zh_CN,js.dates.long_with_year,YYYY年M月D日 HH:mm,2025-08-04 12:38:13.703284,2025-08-04 12:38:13.703284,"MMM D, YYYY h:mm a",0
zh_CN,js.dates.tiny.x_days.other,%{count}天,2025-08-04 12:39:42.808421,2025-08-04 12:39:42.808421,%{count}d,0
zh_CN,js.dates.medium.x_hours.other,%{count}小时,2025-08-04 12:40:25.435536,2025-08-04 12:40:25.435536,%{count} hours,0
zh_CN,js.dates.tiny.about_x_hours.other,%{count}小时,2025-08-04 12:40:39.401202,2025-08-04 12:40:39.401202,%{count}h,0
zh_CN,js.time_shortcut.in_two_hours,两小时后,2025-08-04 12:43:17.811224,2025-08-04 12:43:17.811224,In two hours,0
zh_CN,js.dates.wrap_ago,%{date}前,2025-08-04 12:44:16.555547,2025-08-04 12:44:16.555547,%{date} ago,0
zh_CN,js.dates.timeline_date,YYYY-MM,2025-08-04 12:58:02.913138,2025-08-04 12:58:02.913138,MMM YYYY,0
zh_CN,js.dates.tiny.date_year,YYYY年M月D日,2025-08-04 12:39:02.39783,2025-08-04 13:01:42.431983,MMM YYYY,0
zh_CN,js.dates.later.x_days.other,%{count}天后,2025-08-04 13:14:31.967935,2025-08-04 13:14:31.967935,%{count} days later,0
zh_CN,user.deactivated_by_inactivity.other,已在闲置%{count}天后被自动停用,2025-08-04 13:14:47.970355,2025-08-04 13:14:47.970355,Automatically deactivated after %{count} days of inactivity,0
zh_CN,topic_statuses.autoclosed_disabled_lastpost_days.other,此话题已在最后回复的%{count}天后自动打开。,2025-08-04 13:15:41.931518,2025-08-04 13:15:41.931518,This topic was automatically opened %{count} days after the last reply.,0
zh_CN,topic_statuses.autoclosed_disabled_days.other,此话题已在%{count}天后自动打开。,2025-08-04 13:15:58.430138,2025-08-04 13:15:58.430138,This topic was automatically opened after %{count} days.,0
zh_CN,topic_statuses.autoclosed_enabled_lastpost_days.other,此话题已在最后一次回复的%{count}天后自动关闭，不再允许回复。,2025-08-04 13:16:34.109399,2025-08-04 13:16:34.109399,This topic was automatically closed %{count} days after the last reply. New replies are no longer allowed.,0
zh_CN,user.username.characters,只得包含汉字、数字、字母、连字符、点和下划线,2025-08-05 09:04:30.072505,2025-08-05 09:04:30.072505,"must only include numbers, letters, dashes, dots, and underscores",0
zh_CN,js.user.change_username.invalid,该用户名无效，用户名只能包含汉字、数字、字母、连字符、点和下划线,2025-08-05 09:04:48.497095,2025-08-05 09:04:48.497095,That username is invalid. It must only include numbers and letters,0
zh_CN,js.dates.later.x_years.other,%{count}年后,2025-08-05 12:58:29.845391,2025-08-05 12:58:29.845391,%{count} years later,0
zh_CN,js.dates.later.x_months.other,%{count}个月后,2025-08-05 12:58:42.323937,2025-08-05 12:58:42.323937,%{count} months later,0
zh_CN,js.dates.tiny.half_a_minute,< 1分钟,2025-08-05 12:59:28.323859,2025-08-05 12:59:28.323859,< 1m,0
zh_CN,js.dates.tiny.x_months.other,%{count}个月,2025-08-05 12:59:36.384224,2025-08-05 12:59:36.384224,%{count}mon,0
zh_CN,js.dates.tiny.over_x_years.other,> %{count}年,2025-08-05 12:59:42.660176,2025-08-05 12:59:42.660176,> %{count}y,0
zh_CN,js.dates.tiny.almost_x_years.other,%{count}年,2025-08-05 12:59:49.584846,2025-08-05 12:59:49.584846,%{count}y,0
