locale,translation_key,value,created_at,updated_at,original_translation,status
zh_CN,groups.default_full_names.trust_level_0,信任级别 0,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,groups.default_full_names.trust_level_1,信任级别 1,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,groups.default_full_names.trust_level_2,信任级别 2,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,groups.default_full_names.trust_level_3,信任级别 3,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,groups.default_full_names.trust_level_4,信任级别 4,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,js.forgot_password.complete_email_found,我们找到一个与 <b>%{email}</b> 匹配的帐户。您应该会很快收到一封电子邮件，其中包含有关如何重置密码的说明。,2026-07-04 00:00:00,2026-07-04 00:00:00,"""我们找到一个与 <b>%{email}</b> 匹配的帐户。您应该会收到一封电子邮件，其中包含有关如何尽快重置密码的说明。""",0
zh_CN,js.languages.en.name,English,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,js.languages.zh_TW.name,繁體中文,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,js.login.oidc.name,Codeberg,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,js.login.oidc.title,使用 Codeberg 登录,2026-07-04 00:00:00,2026-07-04 00:00:00,,0
zh_CN,js.login.second_factor_backup_title,双重验证备份,2026-07-04 00:00:00,2026-07-04 00:00:00,"""双重备份""",0
zh_CN,js.notifications.dismiss_confirmation.body.messages.other,确定吗？您有 %{count} 条未读个人消息。,2026-07-04 00:00:00,2026-07-04 00:00:00,"""确定吗？您有 %{count} 条未读个人信息。""",0
zh_CN,js.notifications.linked_consolidated_description.other,链接了您的 %{count} 个帖子,2026-07-04 00:00:00,2026-07-04 00:00:00,"""点赞了您的 %{count} 个帖子""",0
zh_CN,js.notifications.replied_consolidated_in_topic.other,你的话题中有 %{count} 条新回复,2026-07-04 00:00:00,2026-07-04 00:00:00,"""%{count} 你的话题中有新回复""",0
zh_CN,js.notifications.replied_consolidated_to_post.other,您的帖子有 %{count} 条新回复,2026-07-04 00:00:00,2026-07-04 00:00:00,"""%{count} 您的帖子有新回复""",0
zh_CN,js.notifications.titles.linked_consolidated,新链接,2026-07-04 00:00:00,2026-07-04 00:00:00,"""个新链接""",0
zh_CN,js.user_menu.tabs.messages,个人消息,2026-07-04 00:00:00,2026-07-04 00:00:00,"""个人信息""",0
zh_CN,js.user_menu.tabs.messages_with_unread.other,个人消息 - %{count} 条未读消息,2026-07-04 00:00:00,2026-07-04 00:00:00,"""个人信息 - %{count} 条未读信息""",0
zh_TW,admin_js.admin.badges.auto_revoke,每天執行撤銷查詢,2026-07-04 00:00:00,2026-07-04 00:00:00,每日執行撤銷用的 SQL 語法,0
zh_TW,admin_js.admin.badges.revoke,撤銷,2026-07-04 00:00:00,2026-07-04 00:00:00,撤回,0
zh_TW,admin_js.admin.badges.revoke_confirm,確定要撤銷此徽章嗎？,2026-07-04 00:00:00,2026-07-04 00:00:00,你確定要撤回這個徽章?,0
zh_TW,admin_js.admin.customize.colors.undo_title,復原自上次儲存後對此顏色所做的變更。,2026-07-04 00:00:00,2026-07-04 00:00:00,復原你前次對此顏色所做的修改,0
zh_TW,admin_js.admin.customize.theme.source_url,原始碼,2026-07-04 00:00:00,2026-07-04 00:00:00,來源：,0
zh_TW,admin_js.admin.logs.search_logs.header_search_results,頁首搜尋結果,2026-07-04 00:00:00,2026-07-04 00:00:00,標題搜尋結果,0
zh_TW,admin_js.admin.logs.staff_actions.actions.revoke_badge,撤銷徽章,2026-07-04 00:00:00,2026-07-04 00:00:00,撤回徽章,0
zh_TW,admin_js.admin.logs.staff_actions.actions.revoke_email,撤銷電子郵件,2026-07-04 00:00:00,2026-07-04 00:00:00,撤銷郵件,0
zh_TW,admin_js.admin.settings.show_overriden,僅顯示被覆寫的設定,2026-07-04 00:00:00,2026-07-04 00:00:00,只顯示被覆寫的內容,0
zh_TW,admin_js.admin.site_text.show_overriden,僅顯示被覆寫的文字,2026-07-04 00:00:00,2026-07-04 00:00:00,只顯示修改過的項目,0
zh_TW,associated_accounts.revoke_failed,無法使用 %{provider_name} 撤銷你的帳戶。,2026-07-04 00:00:00,2026-07-04 00:00:00,無法使用%{provider_name}刪除你的帳戶。,0
zh_TW,badges.solved_4.name,解決方案專家,2026-07-04 00:00:00,2026-07-04 00:00:00,Solution Institution,0
zh_TW,chat_integration.provider.matrix.formatted_message,"%{user} 發表了新貼文 <a href=""%{post_url}"">%{title}</a>
",2026-07-04 00:00:00,2026-07-04 00:00:00,"<b>%{user}</b> posted in <b><a href='%{post_url}'>%{title}</a></b>
<blockquote>
%{excerpt}
</blockquote>
",0
zh_TW,chat_integration.provider.matrix.text_message,%{user} 在 %{title} 發表了貼文 - %{post_url},2026-07-04 00:00:00,2026-07-04 00:00:00,%{user} posted in %{title} - %{post_url},0
